MuestraControl,LoteLabID,FechaReporte,MuestraID,Cu ppm
STD10,115,27-04-14,16093,423
STD10,115,27-04-14,16030,427
STD10,115,27-04-14,16065,427
STD10,116,28-04-14,16165,427
STD10,116,28-04-14,16193,428
STD10,116,28-04-14,16130,425
STD10,117,28-04-14,12730,427
STD10,117,28-04-14,12693,425
STD10,117,28-04-14,12765,432
STD10,1,01-09-14,65,426
STD10,1,01-09-14,93,425
STD10,1,01-09-14,30,427
STD10,2,01-09-14,130,425
STD10,2,01-09-14,165,425
STD10,2,01-09-14,193,425
STD10,2,01-09-14,230,423
STD10,3,02-09-14,330,421
STD10,3,02-09-14,265,422
STD10,3,02-09-14,293,425
STD10,4,02-09-14,465,425
STD10,4,02-09-14,430,429
STD10,4,02-09-14,365,425
STD10,4,02-09-14,393,422
STD10,5,03-09-14,5065,423
STD10,5,03-09-14,5093,423
STD10,6,03-09-14,5230,432
STD10,6,03-09-14,5193,427
STD10,6,03-09-14,5130,430
STD10,6,03-09-14,5165,418
STD10,7,04-09-14,565,427
STD10,7,04-09-14,593,428
STD10,7,04-09-14,530,428
STD10,7,04-09-14,493,428
STD10,8,04-09-14,5293,432
STD10,8,04-09-14,5265,425
STD10,8,04-09-14,5330,427
STD10,9,05-09-14,693,432
STD10,9,05-09-14,665,427
STD10,9,05-09-14,630,428
STD10,10,05-09-14,5365,417
STD10,10,05-09-14,5393,429
STD10,10,05-09-14,5430,431
STD10,10,05-09-14,5465,429
STD10,11,06-09-14,730,423
STD10,11,06-09-14,793,421
STD10,11,06-09-14,830,432
STD10,12,06-09-14,5530,429
STD10,12,06-09-14,5493,429
STD10,12,06-09-14,5565,427
STD10,12,06-09-14,5593,432
STD10,13,07-09-14,930,429
STD10,13,07-09-14,893,431
STD10,13,07-09-14,865,429
STD10,14,07-09-14,1030,429
STD10,14,07-09-14,1065,430
STD10,14,07-09-14,965,423
STD10,15,08-09-14,5630,427
STD10,15,08-09-14,5693,431
STD10,15,08-09-14,5665,427
STD10,16,08-09-14,1193,429
STD10,16,08-09-14,1165,432
STD10,16,08-09-14,1130,427
STD10,16,08-09-14,1093,443
STD10,17,09-09-14,1293,431
STD10,17,09-09-14,1265,425
STD10,17,09-09-14,1230,429
