MuestraOriginal,Orig Cu ppm,MuestraDuplicado,Dup Cu ppm,LoteLabID,FechaReporte,Control Type
4319,30,4326,53,62,41711,DG
4424,253,4426,247,63,41712,DG
4474,19,4476,19,64,41712,DG
4519,19,4526,23,64,41712,DG
4573,13,4576,13,65,41713,DG
4619,233,4626,235,65,41713,DG
4672,13,4676,13,65,41713,DG
4719,122,4726,127,71,41716,DG
4774,178,4776,178,71,41716,DG
4819,585,4826,568,72,41718,DG
